date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2019-01-01,46.4,39.0,55.0,0.0,143.0,6.6,1022.8
2019-01-02,44.1,34.0,57.0,0.0,143.0,4.0,1024.0
2019-01-03,45.0,34.0,57.9,0.0,143.0,2.7,1022.6
2019-01-04,47.3,37.0,61.0,0.0,143.0,3.1,1015.3
2019-01-05,51.4,46.9,55.0,0.0,143.0,13.2,1008.6
2019-01-06,50.4,46.0,57.9,0.0,143.0,12.6,1014.05
2019-01-07,55.4,48.9,62.1,0.0,142.7,6.2,1019.5
2019-01-08,56.8,52.0,61.0,0.0,142.4,7.0,1015.9
2019-01-09,56.8,51.1,61.0,0.0,142.1,8.6,1017.9
2019-01-10,51.8,44.1,61.0,0.0,141.8,3.2,1020.2
2019-01-11,54.5,45.0,63.0,0.0,141.5,9.4,1013.2
2019-01-12,55.4,50.0,63.0,0.0,141.2,6.6,1014.5
2019-01-13,53.2,45.0,62.1,0.0,140.9,6.3,1015.4
2019-01-14,52.0,48.9,55.9,0.0,140.6,7.6,1011.6
2019-01-15,53.1,51.1,55.9,0.0,140.3,12.600000000000001,1008.9
2019-01-16,57.2,55.0,61.0,0.0,140.0,17.6,1011.6
2019-01-17,57.4,52.0,60.1,0.0,140.8125,7.0,1017.1
2019-01-18,56.8,51.1,64.0,0.0,141.625,2.7,1026.2
2019-01-19,58.6,51.1,68.0,0.0,142.4375,3.3,1026.0
2019-01-20,55.6,48.0,64.0,0.0,143.25,6.8,1018.6
2019-01-21,50.0,44.1,55.9,0.0,144.0625,6.6,1022.9
2019-01-22,50.2,42.1,59.0,0.0,144.875,5.7,1028.6
2019-01-23,49.3,39.0,60.1,0.0,145.6875,3.2,1028.8
2019-01-24,51.4,39.9,63.0,0.0,146.5,5.3,1023.8
2019-01-25,51.6,39.9,64.9,0.0,147.3125,2.9,1023.2
2019-01-26,52.7,42.1,64.9,0.0,148.125,2.1,1024.7
2019-01-27,55.2,46.0,64.9,0.0,148.9375,2.4,1021.6
2019-01-28,56.3,48.9,64.9,0.0,149.75,2.9,1017.0
2019-01-29,55.0,48.9,63.0,0.0,150.5625,4.3,1015.2
2019-01-30,57.0,51.1,66.0,0.0,151.375,3.4,1012.7
2019-01-31,56.3,52.0,63.0,0.0,152.1875,4.0,1012.1
2019-02-01,55.4,52.0,59.0,0.0,153.0,13.0,1009.2
2019-02-02,53.4,50.0,59.0,0.0,151.0,18.0,998.7
2019-02-03,53.4,50.0,57.0,0.0,150.9090909090909,9.9,1001.25
2019-02-04,48.9,45.0,55.9,0.0,150.8181818181818,8.0,1003.8
2019-02-05,43.0,37.0,48.9,0.0,150.72727272727272,5.5,1012.2
2019-02-06,44.2,35.1,55.0,0.0,150.63636363636363,5.0,1021.8
2019-02-07,46.0,37.0,57.0,0.0,150.54545454545453,5.2,1024.3
2019-02-08,47.5,42.1,53.1,0.0,150.45454545454547,8.2,1017.3
2019-02-09,48.0,37.9,54.0,0.0,150.36363636363637,7.6,1013.6
2019-02-10,46.2,39.9,51.1,0.0,150.27272727272728,7.4,1016.5
2019-02-11,45.0,37.0,54.0,0.0,150.1818181818182,4.9,1022.8
2019-02-12,46.9,37.0,55.0,0.0,150.0909090909091,7.3,1015.5
2019-02-13,55.6,48.0,62.1,0.0,150.0,19.0,1015.6
2019-02-14,55.4,50.0,62.1,0.0,185.0,10.7,1015.6999999999999
2019-02-15,47.8,43.0,52.0,0.0,205.66666666666666,6.3,1015.8
2019-02-16,46.9,43.0,52.0,0.0,226.33333333333334,8.0,1021.2
2019-02-17,46.0,39.9,53.1,0.0,247.0,8.9,1017.8
2019-02-18,45.0,36.0,55.0,0.0,267.6666666666667,5.6,1022.4
2019-02-19,45.0,34.0,55.0,0.0,288.33333333333337,5.4,1022.4
2019-02-20,49.8,46.0,55.0,0.0,309.0,12.8,1013.2
2019-02-21,47.8,39.9,55.0,0.0,331.0,12.5,1007.8
2019-02-22,46.8,37.0,55.0,0.0,295.2,6.6,1019.0
2019-02-23,46.2,34.0,57.0,0.0,259.4,4.8,1025.9
2019-02-24,50.4,43.0,60.1,0.0,223.60000000000002,4.2,1022.5
2019-02-25,52.9,48.0,55.9,0.01875,187.8,10.2,1016.5
2019-02-26,55.6,53.1,60.1,0.0375,152.0,15.2,1015.8
2019-02-27,55.9,51.1,64.0,0.056249999999999994,152.375,13.4,1015.1
2019-02-28,52.0,48.0,57.9,0.075,152.75,5.8,1020.3
2019-03-01,51.3,44.1,59.0,0.06818181818181818,153.125,1.7,1017.6
2019-03-02,57.4,51.1,64.9,0.06136363636363636,153.5,2.6666666666666665,1010.3
2019-03-03,55.2,52.0,62.1,0.05454545454545454,153.875,3.633333333333333,1017.0
2019-03-04,52.9,48.9,57.9,0.04772727272727273,154.25,4.6,1019.0
2019-03-05,54.5,51.1,59.0,0.04090909090909091,154.625,8.6,1011.0
2019-03-06,55.4,53.1,61.0,0.03409090909090909,155.0,14.1,1007.0
2019-03-07,50.7,46.9,54.0,0.027272727272727275,151.33333333333334,5.0,1016.1
2019-03-08,48.2,43.0,55.0,0.020454545454545454,147.66666666666666,7.5,1017.8
2019-03-09,47.1,42.1,53.1,0.013636363636363634,144.0,11.4,1014.5
2019-03-10,49.1,41.55,58.05,0.0068181818181818205,187.5,8.5,1015.75
2019-03-11,51.1,41.0,63.0,0.0,231.0,5.6,1017.0
2019-03-12,50.5,41.0,61.0,0.0,274.5,9.8,1013.8
2019-03-13,52.0,45.0,61.0,0.0,318.0,11.4,1021.2
2019-03-14,52.2,39.9,64.9,0.0,299.77777777777777,6.8,1024.0
2019-03-15,53.6,39.9,66.9,0.0,281.55555555555554,4.9,1022.7
2019-03-16,56.1,43.0,70.0,0.0,263.3333333333333,4.7,1020.4
2019-03-17,58.3,46.0,72.0,0.0,245.11111111111111,3.3,1018.1
2019-03-18,61.3,48.0,78.1,0.0,226.88888888888889,3.0,1014.4
2019-03-19,59.0,51.1,72.0,0.0,208.66666666666669,6.5,1011.7
2019-03-20,55.6,51.1,63.0,0.0,190.44444444444446,8.3,1015.3
2019-03-21,53.1,44.1,63.0,0.0,172.22222222222223,5.6,1019.6
2019-03-22,52.9,46.9,57.9,0.0,154.0,8.1,1021.6
2019-03-23,55.2,48.9,62.1,0.0,156.84615384615384,8.5,1022.0
2019-03-24,53.8,41.0,66.9,0.0,159.69230769230768,4.5,1022.2
2019-03-25,57.2,48.9,66.9,0.0,162.53846153846155,8.6,1018.4
2019-03-26,58.1,51.1,66.0,0.0,165.3846153846154,5.3,1016.0
2019-03-27,58.1,53.1,63.0,0.0,168.23076923076923,11.2,1019.6
2019-03-28,54.7,46.0,64.0,0.0,171.07692307692307,7.5,1023.2
2019-03-29,54.7,46.0,63.0,0.0,173.92307692307693,7.1,1026.5
2019-03-30,55.9,45.0,66.9,0.0,176.76923076923077,6.2,1023.5
2019-03-31,59.4,45.0,73.9,0.0,179.6153846153846,5.3,1020.4
2019-04-01,58.5,50.0,64.9,0.0,182.46153846153845,4.3,1015.4
2019-04-02,58.3,54.0,64.9,0.0,185.30769230769232,6.8,1016.0
2019-04-03,57.6,54.0,62.1,0.0,188.15384615384616,5.8,1016.6
2019-04-04,57.6,55.0,62.1,0.0,191.0,8.9,1016.5
2019-04-05,57.4,53.1,64.0,0.0,184.0,7.0,1016.0
2019-04-06,60.3,53.1,69.1,0.0,177.0,8.4,1019.2
2019-04-07,62.6,53.1,73.9,0.0,214.0,7.1,1024.3
2019-04-08,64.0,55.9,73.0,0.0,251.0,6.5,1022.5
2019-04-09,58.6,54.0,66.0,0.0,288.0,9.6,1023.7
2019-04-10,58.1,48.0,69.1,0.0,325.0,12.7,1024.8
2019-04-11,55.9,50.0,63.0,0.0,317.36842105263156,8.8,1020.6
2019-04-12,57.6,46.9,70.0,0.0,309.7368421052632,8.6,1014.2
2019-04-13,60.6,48.9,75.9,0.0,302.10526315789474,5.7,1015.3
2019-04-14,56.1,50.0,66.0,0.0,294.4736842105263,7.1,1014.7
2019-04-15,55.2,50.0,64.9,0.0,286.8421052631579,4.7,1012.4
2019-04-16,56.8,51.1,64.9,0.0,279.2105263157895,9.4,1016.8
2019-04-17,59.5,48.0,73.0,0.0,271.57894736842104,6.2,1022.3
2019-04-18,65.5,51.1,81.0,0.0,263.9473684210526,4.8,1019.2
2019-04-19,63.7,55.0,75.0,0.0,256.3157894736842,6.4,1017.05
2019-04-20,57.9,53.1,64.0,0.0,248.68421052631578,9.3,1014.9
2019-04-21,57.7,46.9,70.0,0.0,241.05263157894737,7.5,1018.6
2019-04-22,63.3,50.0,81.0,0.0,233.42105263157896,6.3,1017.8
2019-04-23,71.8,55.9,87.1,0.0,225.78947368421052,4.3,1014.7
2019-04-24,72.7,60.1,89.1,0.0,218.1578947368421,5.2,1013.1
2019-04-25,64.8,55.9,77.0,0.0,210.5263157894737,6.4,1013.9
2019-04-26,63.5,52.0,80.1,0.0,202.89473684210526,4.6,1014.2
2019-04-27,61.0,53.1,72.0,0.0,195.26315789473685,8.1,1013.4
2019-04-28,58.8,51.1,71.1,0.0,187.6315789473684,8.9,1010.4
2019-04-29,59.4,52.0,68.0,0.0,180.0,10.5,1009.1
2019-04-30,59.7,54.0,69.1,0.0,186.0,11.1,1013.1
2019-05-01,60.8,48.9,75.0,0.0,189.8095238095238,7.4,1016.4
2019-05-02,62.2,48.9,75.9,0.0,193.61904761904762,6.2,1016.2
2019-05-03,62.1,52.0,75.0,0.0,197.42857142857142,6.0,1014.4
2019-05-04,58.1,51.1,70.0,0.0,201.23809523809524,7.1,1012.5
2019-05-05,58.5,52.0,66.9,0.0155,205.04761904761904,7.4,1010.9
2019-05-06,59.4,53.1,69.1,0.031,208.85714285714286,5.7,1012.7
2019-05-07,60.8,55.9,69.1,0.0,212.66666666666666,7.5,1016.9
2019-05-08,61.0,55.9,73.0,0.0,216.47619047619048,7.9,1014.7
2019-05-09,61.3,57.0,68.0,0.0,220.28571428571428,6.6,1009.1
