,date,count,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2019-01-10,10,51.8,44.1,61.0,0.0,141.8,3.2,1020.2
1,2019-01-11,3,54.5,45.0,63.0,0.0,141.5,9.4,1013.2
2,2019-01-13,26,53.2,45.0,62.1,0.0,140.9,6.3,1015.4
3,2019-01-14,2,52.0,48.9,55.9,0.0,140.6,7.6,1011.6
4,2019-01-15,1,53.1,51.1,55.9,0.0,140.3,12.6,1008.9
5,2019-01-16,7,57.2,55.0,61.0,0.0,140.0,17.6,1011.6
6,2019-01-17,39,57.4,52.0,60.1,0.0,140.8125,7.0,1017.1
7,2019-01-18,5,56.8,51.1,64.0,0.0,141.625,2.7,1026.2
8,2019-01-19,3,58.6,51.1,68.0,0.0,142.4375,3.3,1026.0
9,2019-01-20,46,55.6,48.0,64.0,0.0,143.25,6.8,1018.6
10,2019-01-21,20,50.0,44.1,55.9,0.0,144.0625,6.6,1022.9
11,2019-01-25,40,51.6,39.9,64.9,0.0,147.3125,2.9,1023.2
12,2019-01-27,4,55.2,46.0,64.9,0.0,148.9375,2.4,1021.6
13,2019-01-28,105,56.3,48.9,64.9,0.0,149.75,2.9,1017.0
14,2019-01-29,7,55.0,48.9,63.0,0.0,150.5625,4.3,1015.2
15,2019-01-30,5,57.0,51.1,66.0,0.0,151.375,3.4,1012.7
16,2019-01-31,5,56.3,52.0,63.0,0.0,152.1875,4.0,1012.1
17,2019-02-06,20,44.2,35.1,55.0,0.0,150.63636363636363,5.0,1021.8
18,2019-02-07,40,46.0,37.0,57.0,0.0,150.54545454545453,5.2,1024.3
19,2019-02-08,83,47.5,42.1,53.1,0.0,150.45454545454547,8.2,1017.3
20,2019-02-09,51,48.0,37.9,54.0,0.0,150.36363636363637,7.6,1013.6
21,2019-02-10,28,46.2,39.9,51.1,0.0,150.27272727272728,7.4,1016.5
22,2019-02-11,36,45.0,37.0,54.0,0.0,150.1818181818182,4.9,1022.8
23,2019-02-12,47,46.9,37.0,55.0,0.0,150.0909090909091,7.3,1015.5
24,2019-02-13,343,55.6,48.0,62.1,0.0,150.0,19.0,1015.6
25,2019-02-14,53,55.4,50.0,62.1,0.0,185.0,10.7,1015.7
26,2019-02-15,196,47.8,43.0,52.0,0.0,205.66666666666663,6.3,1015.8
27,2019-02-16,6,46.9,43.0,52.0,0.0,226.33333333333331,8.0,1021.2
28,2019-02-19,510,45.0,34.0,55.0,0.0,288.33333333333337,5.4,1022.4
29,2019-02-20,258,49.8,46.0,55.0,0.0,309.0,12.8,1013.2
30,2019-02-21,348,47.8,39.9,55.0,0.0,331.0,12.5,1007.8
31,2019-02-22,167,46.8,37.0,55.0,0.0,295.2,6.6,1019.0
32,2019-02-23,272,46.2,34.0,57.0,0.0,259.4,4.8,1025.9
33,2019-02-24,189,50.4,43.0,60.1,0.0,223.6,4.2,1022.5
34,2019-02-25,73,52.9,48.0,55.9,0.01875,187.8,10.2,1016.5
35,2019-02-26,287,55.6,53.1,60.1,0.0375,152.0,15.2,1015.8
36,2019-02-27,94,55.9,51.1,64.0,0.0562499999999999,152.375,13.4,1015.1
37,2019-03-01,165,51.3,44.1,59.0,0.0681818181818181,153.125,1.7,1017.6
38,2019-03-02,10,57.4,51.1,64.9,0.0613636363636363,153.5,2.6666666666666665,1010.3
39,2019-03-03,31,55.2,52.0,62.1,0.0545454545454545,153.875,3.633333333333333,1017.0
40,2019-03-04,1,52.9,48.9,57.9,0.0477272727272727,154.25,4.6,1019.0
41,2019-03-05,41,54.5,51.1,59.0,0.0409090909090909,154.625,8.6,1011.0
42,2019-03-06,20,55.4,53.1,61.0,0.034090909090909,155.0,14.1,1007.0
43,2019-03-07,209,50.7,46.9,54.0,0.0272727272727272,151.33333333333334,5.0,1016.1
44,2019-03-08,65,48.2,43.0,55.0,0.0204545454545454,147.66666666666666,7.5,1017.8
45,2019-03-09,35,47.1,42.1,53.1,0.0136363636363636,144.0,11.4,1014.5
46,2019-03-10,14,49.1,41.55,58.05,0.0068181818181818,187.5,8.5,1015.75
47,2019-03-11,2,51.1,41.0,63.0,0.0,231.0,5.6,1017.0
48,2019-03-12,53,50.5,41.0,61.0,0.0,274.5,9.8,1013.8
49,2019-03-13,1,52.0,45.0,61.0,0.0,318.0,11.4,1021.2
50,2019-03-14,51,52.2,39.9,64.9,0.0,299.77777777777777,6.8,1024.0
51,2019-03-15,9,53.6,39.9,66.9,0.0,281.55555555555554,4.9,1022.7
52,2019-03-16,1,56.1,43.0,70.0,0.0,263.3333333333333,4.7,1020.4
53,2019-03-17,10,58.3,46.0,72.0,0.0,245.11111111111111,3.3,1018.1
54,2019-03-19,16,59.0,51.1,72.0,0.0,208.66666666666669,6.5,1011.7
55,2019-03-20,208,55.6,51.1,63.0,0.0,190.44444444444449,8.3,1015.3
56,2019-03-21,188,53.1,44.1,63.0,0.0,172.22222222222223,5.6,1019.6
57,2019-03-22,4,52.9,46.9,57.9,0.0,154.0,8.1,1021.6
58,2019-03-23,9,55.2,48.9,62.1,0.0,156.84615384615384,8.5,1022.0
59,2019-03-24,34,53.8,41.0,66.9,0.0,159.69230769230768,4.5,1022.2
60,2019-03-25,10,57.2,48.9,66.9,0.0,162.53846153846155,8.6,1018.4
61,2019-03-26,18,58.1,51.1,66.0,0.0,165.3846153846154,5.3,1016.0
62,2019-03-27,3,58.1,53.1,63.0,0.0,168.23076923076923,11.2,1019.6
63,2019-03-28,46,54.7,46.0,64.0,0.0,171.07692307692307,7.5,1023.2
64,2019-03-29,4,54.7,46.0,63.0,0.0,173.92307692307693,7.1,1026.5
65,2019-03-30,21,55.9,45.0,66.9,0.0,176.76923076923077,6.2,1023.5
66,2019-03-31,35,59.4,45.0,73.9,0.0,179.6153846153846,5.3,1020.4
67,2019-04-01,30,58.5,50.0,64.9,0.0,182.46153846153845,4.3,1015.4
68,2019-04-02,95,58.3,54.0,64.9,0.0,185.30769230769232,6.8,1016.0
69,2019-04-03,53,57.6,54.0,62.1,0.0,188.15384615384616,5.8,1016.6
70,2019-04-04,45,57.6,55.0,62.1,0.0,191.0,8.9,1016.5
71,2019-04-05,6,57.4,53.1,64.0,0.0,184.0,7.0,1016.0
72,2019-04-06,26,60.3,53.1,69.1,0.0,177.0,8.4,1019.2
73,2019-04-07,98,62.6,53.1,73.9,0.0,214.0,7.1,1024.3
74,2019-04-08,35,64.0,55.9,73.0,0.0,251.0,6.5,1022.5
75,2019-04-09,70,58.6,54.0,66.0,0.0,288.0,9.6,1023.7
76,2019-04-10,3,58.1,48.0,69.1,0.0,325.0,12.7,1024.8
77,2019-04-11,4,55.9,50.0,63.0,0.0,317.3684210526316,8.8,1020.6
78,2019-04-12,32,57.6,46.9,70.0,0.0,309.7368421052632,8.6,1014.2
79,2019-04-13,18,60.6,48.9,75.9,0.0,302.10526315789474,5.7,1015.3
80,2019-04-14,59,56.1,50.0,66.0,0.0,294.4736842105263,7.1,1014.7
81,2019-04-16,17,56.8,51.1,64.9,0.0,279.2105263157895,9.4,1016.8
82,2019-04-17,2,59.5,48.0,73.0,0.0,271.57894736842104,6.2,1022.3
83,2019-04-18,56,65.5,51.1,81.0,0.0,263.9473684210526,4.8,1019.2
84,2019-04-19,1,63.7,55.0,75.0,0.0,256.3157894736842,6.4,1017.05
85,2019-04-22,12,63.3,50.0,81.0,0.0,233.42105263157896,6.3,1017.8
86,2019-04-23,1,71.8,55.9,87.1,0.0,225.7894736842105,4.3,1014.7
87,2019-04-24,5,72.7,60.1,89.1,0.0,218.1578947368421,5.2,1013.1
88,2019-04-25,4,64.8,55.9,77.0,0.0,210.5263157894737,6.4,1013.9
89,2019-04-26,9,63.5,52.0,80.1,0.0,202.8947368421053,4.6,1014.2
90,2019-04-27,44,61.0,53.1,72.0,0.0,195.26315789473685,8.1,1013.4
91,2019-04-28,14,58.8,51.1,71.1,0.0,187.6315789473684,8.9,1010.4
92,2019-04-30,248,59.7,54.0,69.1,0.0,186.0,11.1,1013.1
93,2019-05-01,152,60.8,48.9,75.0,0.0,189.8095238095238,7.4,1016.4
