,date,count,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2019-01,19,55,48,62,0,145,6,1017
1,2019-02,155,49,42,56,0,201,9,1018
2,2019-03,44,54,46,63,0,190,7,1018
3,2019-04,38,61,52,72,0,236,7,1017
4,2019-05,74,60,53,69,0,255,8,1013
5,2019-06,55,68,58,80,0,330,8,1013
6,2019-07,75,68,59,81,0,215,8,1014
7,2019-08,117,71,62,84,0,181,7,1013
8,2019-09,106,69,59,80,0,187,7,1014
9,2019-10,45,62,51,76,0,175,5,1016
10,2019-11,98,56,47,67,0,150,5,1015
11,2019-12,161,53,47,59,0,183,7,1018
12,2020-01,92,51,44,59,0,240,5,1023
13,2020-02,59,55,44,66,0,338,6,1020
14,2020-03,88,54,47,63,0,216,6,1017
15,2020-04,128,59,51,69,0,303,7,1017
16,2020-05,330,65,55,78,0,296,8,1015
17,2020-06,112,68,58,82,0,311,9,1014
18,2020-07,92,68,58,81,0,314,8,1013
19,2020-08,150,72,63,85,0,332,7,1012
20,2020-09,209,70,61,82,0,297,5,1014
21,2020-10,158,67,57,82,0,311,4,1015
22,2020-11,128,54,44,66,0,234,5,1019
23,2020-12,63,51,42,62,0,239,4,1022
24,2021-01,95,52,44,61,0,248,6,1019
25,2021-02,139,53,44,64,0,248,6,1021
26,2021-03,190,53,44,64,0,284,7,1019
27,2021-04,135,57,48,68,0,294,7,1017
28,2021-05,107,62,52,74,0,315,8,1016
29,2021-06,22,66,57,77,0,316,8,1013
30,2021-07,11,67,58,78,0,334,7,1014
